category,name,description,serial,productionDate,price,currency,authorised,inStock,compatibleBrands,limitedEdition,safetyCritical,hazardousMaterial
Engine System,Cylinder Head 3VW,"Sits on top of the engine block, holds valves and spark plugs.",IFAT-0F1A-731C-1926,2022-01-03,412.59,EUR,True,True,Nord,True,False,True
Engine System,Timing Belt / Chain G4P,Generic Timing Belt / Chain,IFAT-6133-D250-F6A7,2017-06-01,1450.83,EUR,True,False,Feramborghini,True,True,True
Engine System,Timing Belt / Chain F9X,Generic Timing Belt / Chain,IFAT-AA0F-FF31-4202,2023-05-04,196.24,EUR,True,True,"Nord,WV,Mecentley",False,True,True
Engine System,Engine Block A3B,Main structure housing cylinders and other components.,IFAT-9961-934A-47B8,2015-06-09,20.17,EUR,False,True,Nord,True,True,False
Engine System,Exhaust Manifold QJQ,Collects exhaust gases from cylinders.,IFAT-F03E-748E-BADD,2025-11-11,1014.69,EUR,True,False,"Feramborghini,Nord",True,False,False
Engine System,Crankshaft ZMW,Converts piston movement into rotational motion.,IFAT-1C7F-3A7C-9FC3,2025-03-25,732.17,EUR,True,True,"BMV,Nord,Mecentley,Feramborghini,WV",False,True,True
Engine System,Throttle Body YJI,Generic Throttle Body,IFAT-7B4F-D6E8-392B,2022-10-21,220.25,EUR,True,True,"Mecentley,Nord,BMV,WV,Feramborghini",True,True,True
Engine System,Ignition Coils 2CI,Generic Ignition Coils,IFAT-827C-D985-3FE6,2018-09-23,79.76,EUR,True,True,"WV,Mecentley,BMV,Feramborghini,Nord",True,True,True
Engine System,Pistons SWP,Move up and down in cylinders to compress and combust fuel.,IFAT-1217-4056-9687,2023-06-09,1197.98,EUR,False,True,"BMV,WV",True,False,False
Engine System,Intake Manifold 8PD,Distributes air to the engine cylinders.,IFAT-8B71-4F73-9232,2020-11-27,203.65,EUR,True,True,"WV,Feramborghini",False,True,False
Engine System,Lifters YV0,Transmit camshaft motion to valves.,IFAT-01EC-0C68-3EE7,2017-02-27,700.45,EUR,False,True,BMV,False,True,True
Engine System,Engine Mounts BDU,Generic Engine Mounts,IFAT-BD62-9086-19A2,2022-09-07,1797.31,EUR,True,True,"BMV,Mecentley,Feramborghini,Nord,WV",False,True,False
Engine System,Ignition Coils UZ9,Generate high voltage for spark plugs.,IFAT-F513-344A-26D0,2023-05-16,422.19,EUR,True,True,"BMV,Mecentley,Feramborghini,WV",True,True,False
Engine System,Oil Pump TWK,Generic Oil Pump,IFAT-E203-BA35-5A06,2025-03-14,1773.51,EUR,True,True,"Mecentley,Nord,Feramborghini,WV",True,False,True
Engine System,Cylinder Head 8KT,"Sits on top of the engine block, holds valves and spark plugs.",IFAT-C92E-06E1-4FD0,2019-07-22,284.59,EUR,True,True,"Feramborghini,Nord,BMV,Mecentley,WV",True,False,True
Engine System,Spark Plugs HNH,Ignite air/fuel mixture in combustion chamber.,IFAT-0AF9-035D-55CC,2020-03-27,1542.34,EUR,True,True,Nord,True,False,False
Engine System,Crankshaft RZE,Generic Crankshaft,IFAT-2F6A-CD5B-1401,2025-04-12,1783.88,EUR,True,True,WV,True,True,False
Engine System,Fuel Injectors PCI,Spray fuel into the engine's cylinders.,IFAT-FC7D-7615-05C5,2025-11-03,252.91,EUR,True,True,"Feramborghini,WV,BMV,Nord",False,True,True
Engine System,Engine Control Unit (ECU) S92,Generic Engine Control Unit (ECU),IFAT-2160-2FCA-F701,2024-04-27,763.35,EUR,True,False,"BMV,Mecentley,Feramborghini,Nord",False,True,False
Engine System,Crankshaft 5GY,Generic Crankshaft,IFAT-D571-A140-46FC,2022-11-11,1377.05,EUR,True,True,"WV,Feramborghini",True,True,True
Engine System,Tappets / Lifters OA6,Generic Tappets / Lifters,IFAT-1069-0A3E-D1C7,2021-10-16,1688.23,EUR,True,True,"WV,BMV",True,False,False
Engine System,Valve Springs Y62,Ensure valves close properly.,IFAT-FA49-AA4E-2924,2015-04-17,1673.55,EUR,True,True,"Mecentley,WV",False,True,False
Engine System,Air Filter BP3,Filters air before it enters the engine.,IFAT-DA8E-0345-5CD4,2020-12-20,1029.49,EUR,True,True,"Nord,Mecentley",False,True,False
Engine System,Turbocharger N1D,Forces more air into the engine.,IFAT-227E-949E-7CA9,2017-06-06,93.92,EUR,True,True,"BMV,WV,Mecentley",True,False,False
Engine System,Tappets 8OW,Link camshaft with pushrods.,IFAT-0A6B-5BFD-4A3D,2019-10-20,211.57,EUR,True,True,"BMV,Nord,Feramborghini",True,True,False
Engine System,Camshaft KEI,Generic Camshaft,IFAT-1172-DC40-3768,2023-02-21,47.4,EUR,True,False,BMV,True,True,False
Engine System,Tappets / Lifters AK2,Generic Tappets / Lifters,IFAT-B197-8CE2-9049,2023-02-01,714.54,EUR,True,False,BMV,True,True,True
Engine System,Oil Pump VK2,Circulates oil through the engine.,IFAT-AB20-C94F-01E3,2021-01-01,1950.07,EUR,True,True,"Nord,BMV",False,True,True
Engine System,Harmonic Balancer 8DE,Generic Harmonic Balancer,IFAT-B357-4926-C3AB,2019-07-04,1861.36,EUR,True,True,Feramborghini,False,True,True
Engine System,Timing Belt / Chain GQ2,Synchronizes rotation of the crankshaft and camshaft.,IFAT-2D0D-8A94-C4F7,2022-12-08,1229.91,EUR,True,True,Mecentley,False,False,False
Engine System,"Valves (Intake, Exhaust) 6LJ","Generic Valves (Intake, Exhaust)",IFAT-CE05-F173-5309,2016-09-16,223.93,EUR,True,False,BMV,True,True,True
Engine System,Camshaft 9FF,Operates the engine’s valves via lobes.,IFAT-FE0C-0505-D7A0,2024-09-13,504.41,EUR,False,False,"Mecentley,WV,Feramborghini",True,False,False
Engine System,Rocker Arms EI7,Generic Rocker Arms,IFAT-C28A-9644-32B9,2016-05-28,640.36,EUR,True,True,"Feramborghini,WV,BMV",True,False,False
Engine System,Engine Mounts BQI,Secure engine to frame and absorb vibration.,IFAT-406A-0040-4225,2019-02-02,1526.06,EUR,True,True,"BMV,Mecentley,Feramborghini,WV,Nord",False,True,True
Engine System,Serpentine Belt ZUP,Generic Serpentine Belt,IFAT-69EA-5E20-8C44,2022-03-09,821.0,EUR,True,True,"Feramborghini,Mecentley,BMV,WV,Nord",True,False,True
Engine System,Engine Mounts XQW,Generic Engine Mounts,IFAT-F4CE-A7DC-B2F2,2018-07-19,487.47,EUR,True,True,BMV,True,True,False
Engine System,Oil Cooler T5A,Cools the engine oil.,IFAT-D21F-9D64-EACF,2019-01-18,238.35,EUR,True,False,"WV,BMV,Nord",False,True,False
Engine System,Turbocharger 2Q7,Forces more air into the engine.,IFAT-5107-C6FA-F44A,2020-07-02,1577.29,EUR,False,True,BMV,True,True,True
Engine System,Cylinder Head YXJ,"Sits on top of the engine block, holds valves and spark plugs.",IFAT-78B7-B6D0-F750,2024-02-22,825.46,EUR,False,True,"Nord,BMV,Mecentley",False,True,True
Engine System,Distributor FLW,Distributes spark to the correct cylinder.,IFAT-7ACA-A258-75BC,2018-03-27,1039.35,EUR,True,True,Feramborghini,False,False,False
Engine System,Dipstick JBD,Measures oil level.,IFAT-2B7E-B716-7AE9,2024-05-10,305.44,EUR,False,False,"Mecentley,WV",True,False,False
Engine System,Crankshaft 0OS,Generic Crankshaft,IFAT-C5B0-F76C-849F,2015-05-25,486.26,EUR,True,True,"BMV,WV",False,False,True
Engine System,Distributor P0D,Generic Distributor,IFAT-F19B-D956-E2B0,2016-10-30,859.65,EUR,True,True,"BMV,WV,Feramborghini",True,True,True
Engine System,Throttle Body PCB,Controls airflow into the engine.,IFAT-E656-E718-A4BF,2017-03-27,1808.25,EUR,True,True,"Nord,WV,Mecentley,Feramborghini,BMV",True,True,True
Engine System,Glow Plugs 7RD,Preheat air in diesel engines.,IFAT-DB03-D46F-668C,2017-05-28,1255.51,EUR,True,True,"WV,Feramborghini,BMV,Nord,Mecentley",True,True,False
Engine System,Timing Cover 4WO,Generic Timing Cover,IFAT-0EE1-89C9-5FD5,2025-05-28,971.94,EUR,True,True,"Feramborghini,BMV",False,True,True
Engine System,Distributor AGW,Generic Distributor,IFAT-867C-6462-B2B6,2025-12-03,358.29,EUR,True,True,"WV,Feramborghini,Nord,Mecentley",True,True,True
Engine System,Valve Springs 3YS,Ensure valves close properly.,IFAT-A600-8884-2C8F,2025-06-23,176.61,EUR,True,True,"Nord,Feramborghini",True,True,False
Engine System,Harmonic Balancer L5Z,Generic Harmonic Balancer,IFAT-84D0-70C0-1070,2015-12-21,1395.56,EUR,False,True,"WV,Nord,Feramborghini,BMV,Mecentley",True,True,True
Engine System,Oil Pan YKJ,Holds engine oil.,IFAT-4345-3913-57BF,2018-08-29,1081.03,EUR,False,False,"Feramborghini,WV",True,False,False
Engine System,Throttle Body HND,Generic Throttle Body,IFAT-A7EB-E3F1-E1DD,2016-08-02,1271.44,EUR,True,False,"WV,Nord,BMV,Feramborghini,Mecentley",True,True,False
Engine System,Oil Filter QZJ,Generic Oil Filter,IFAT-F0F7-D038-4F10,2019-01-10,26.95,EUR,True,False,"Mecentley,WV,Nord",True,True,False
Engine System,Ignition Coils HPA,Generate high voltage for spark plugs.,IFAT-000D-1C12-4404,2025-10-17,1863.62,EUR,True,True,Mecentley,True,True,True
Engine System,Serpentine Belt 20P,Generic Serpentine Belt,IFAT-F36B-5EE6-C5E3,2021-11-08,1210.61,EUR,False,False,"WV,Feramborghini,BMV",True,True,True
Engine System,Exhaust Manifold 8YC,Collects exhaust gases from cylinders.,IFAT-9954-5248-7E5E,2020-12-23,149.06,EUR,True,True,Mecentley,True,True,True
Engine System,Harmonic Balancer OA7,Reduces engine vibration.,IFAT-4217-6D2A-EC08,2018-05-30,656.42,EUR,True,True,"Mecentley,BMV,WV,Nord",True,False,True
Engine System,Pistons TM7,Generic Pistons,IFAT-7F82-53AB-E782,2020-09-03,1240.14,EUR,True,True,"WV,Nord,BMV",False,True,True
Engine System,Crankshaft 2SH,Converts piston movement into rotational motion.,IFAT-25EA-98FF-F2AD,2018-02-18,1948.51,EUR,False,False,"BMV,WV,Nord",False,False,True
Engine System,Timing Belt / Chain BOS,Generic Timing Belt / Chain,IFAT-A20A-A1A6-0932,2025-03-21,1358.14,EUR,True,True,"WV,BMV",False,True,True
Engine System,Timing Cover K97,Protects the timing belt or chain.,IFAT-A67E-1BA9-E17B,2020-03-28,1330.32,EUR,True,True,"Feramborghini,WV,Mecentley",True,False,False
Engine System,Camshaft WOM,Generic Camshaft,IFAT-D7AF-3971-D3D6,2020-03-26,1576.38,EUR,True,False,"WV,Nord",True,False,False
Engine System,Engine Mounts A7Z,Secure engine to frame and absorb vibration.,IFAT-F6EF-1FD9-B954,2023-08-10,762.17,EUR,False,True,"Mecentley,Feramborghini,BMV,WV,Nord",True,False,True
Engine System,Serpentine Belt 1AD,Generic Serpentine Belt,IFAT-9C00-752A-5854,2025-09-26,468.94,EUR,True,True,"WV,Mecentley,Nord,Feramborghini,BMV",True,True,False
Engine System,Oil Pump 4KB,Circulates oil through the engine.,IFAT-0540-C3D2-0C0A,2025-01-27,1912.17,EUR,True,True,"Feramborghini,Nord,BMV,Mecentley,WV",True,True,True
Engine System,Timing Cover K15,Protects the timing belt or chain.,IFAT-1E1C-D50A-07DA,2017-11-28,334.84,EUR,True,True,"BMV,Feramborghini,Mecentley,Nord",False,False,True
Engine System,Drive Belt 470,Generic Drive Belt,IFAT-0FF5-FE67-CEA2,2024-11-20,1094.6,EUR,False,True,"Mecentley,WV,Nord,BMV",True,True,True
Engine System,Oil Filter 5BV,Removes contaminants from engine oil.,IFAT-8FAB-332C-3C99,2024-09-21,956.09,EUR,True,True,"Feramborghini,WV,BMV,Mecentley",True,True,True
Engine System,Turbocharger ZF7,Forces more air into the engine.,IFAT-EC90-97AF-9DBD,2017-04-12,793.91,EUR,False,True,"Feramborghini,Mecentley",True,False,False
Engine System,Engine Mounts R6K,Secure engine to frame and absorb vibration.,IFAT-94D3-3515-50FC,2015-07-17,185.57,EUR,True,True,Feramborghini,False,False,True
Engine System,Fuel Injectors K08,Spray fuel into the engine's cylinders.,IFAT-0DD7-9B68-6B48,2017-07-23,292.45,EUR,True,True,"BMV,Nord,WV,Mecentley,Feramborghini",False,False,True
Engine System,Distributor SGK,Generic Distributor,IFAT-54BC-BFCA-688C,2022-11-24,1690.12,EUR,True,True,"Mecentley,WV,BMV,Feramborghini,Nord",True,True,False
