category,name,description,serial,production_date,price,currency,authorised,in_stock,compatible_brands,digitallyTracked,obsolete,customFabricated,limitedEdition,safetyCritical,ecoFriendly,hazardousMaterial,recalled
Cooling & HVAC System,Cooling Fan 090,Assists in radiator cooling.,FQS-DAD0-6F73-8BD5,2020-03-10,1873.41,GBP,True,True,"BMV,WV,Nord,Mecentley",True,False,True,True,True,False,False,True
Cooling & HVAC System,Radiator 321,Dissipates heat from engine coolant.,FQS-9914-C94A-5274,2025-07-30,1851.62,GBP,True,True,"Nord,Feramborghini,BMV,Mecentley",False,False,True,True,True,True,True,True
Cooling & HVAC System,Cooling Fan 630,Generic Cooling Fan,FQS-EEC4-FE1A-171A,2021-12-28,696.54,GBP,True,True,"BMV,WV,Nord",False,True,True,False,True,True,True,True
Cooling & HVAC System,Radiator 656,Generic Radiator,FQS-06B2-8C9B-E32A,2018-09-29,1827.06,GBP,True,False,Mecentley,True,False,True,False,False,True,False,False
Cooling & HVAC System,A/C Compressor 182,Compresses refrigerant for air conditioning.,FQS-D4A4-DA35-CC20,2019-07-08,288.14,GBP,True,True,WV,True,False,True,True,True,True,False,False
Cooling & HVAC System,A/C Compressor 213,Generic A/C Compressor,FQS-3873-AE75-AA08,2023-10-25,465.85,GBP,True,True,"Nord,Mecentley,BMV",False,False,False,True,False,False,True,False
Cooling & HVAC System,A/C Dryer 999,Removes moisture from refrigerant.,FQS-6CFA-380C-9456,2015-10-21,795.85,GBP,True,False,"Mecentley,Nord",False,True,False,False,False,True,True,True
Cooling & HVAC System,Thermostat 419,Generic Thermostat,FQS-282C-D2E5-B263,2022-05-06,67.19,GBP,True,True,BMV,True,True,True,True,True,False,True,True
Cooling & HVAC System,Radiator Cap 493,Seals radiator and maintains pressure.,FQS-A535-2DD4-C2AF,2017-03-11,1540.69,GBP,True,True,"Mecentley,Feramborghini,Nord,BMV,WV",False,False,True,True,True,False,True,False
Cooling & HVAC System,Water Pump 659,Generic Water Pump,FQS-8698-F8B9-FBD0,2016-03-15,152.59,GBP,True,False,"WV,Mecentley,BMV,Nord,Feramborghini",False,True,True,True,True,True,True,False
Cooling & HVAC System,Heater Core 468,Generic Heater Core,FQS-AE61-1B4B-96C4,2018-04-28,1010.26,GBP,True,False,"Feramborghini,Nord,Mecentley,BMV",False,False,False,False,True,False,True,True
Cooling & HVAC System,Thermostat Housing 000,Generic Thermostat Housing,FQS-3D15-9A0E-3B05,2021-11-04,1939.49,GBP,True,True,WV,True,True,True,False,False,True,False,True
Cooling & HVAC System,Heater Core 094,Heats cabin air using engine coolant.,FQS-3269-C683-B120,2020-12-25,1235.0,GBP,True,True,"Nord,Feramborghini,WV",False,False,True,True,False,True,False,True
Cooling & HVAC System,Thermostat 209,Generic Thermostat,FQS-F699-1525-86EE,2018-07-03,971.78,GBP,True,True,"Mecentley,BMV",False,False,True,False,True,False,False,True
Cooling & HVAC System,A/C Dryer 155,Removes moisture from refrigerant.,FQS-EA00-F238-8893,2015-05-08,874.38,GBP,False,True,"Nord,BMV",True,False,True,False,True,False,False,False
Cooling & HVAC System,A/C Lines 802,Generic A/C Lines,FQS-AEAA-FDB8-70CC,2023-08-15,358.7,GBP,True,False,"BMV,WV,Nord,Mecentley",True,False,True,True,True,True,False,False
Cooling & HVAC System,A/C Compressor 434,Generic A/C Compressor,FQS-61BD-A9AB-E40D,2023-09-18,1217.71,GBP,True,True,"Feramborghini,Nord",False,False,False,False,False,True,True,True
Cooling & HVAC System,Radiator Cap 494,Seals radiator and maintains pressure.,FQS-115E-6299-A13A,2019-04-03,525.67,GBP,True,True,"BMV,Feramborghini,WV,Nord,Mecentley",True,False,True,True,True,True,False,False
Cooling & HVAC System,Radiator Hoses 171,Carry coolant to and from radiator.,FQS-1224-13F1-5496,2023-04-16,1627.72,GBP,True,False,"Mecentley,Feramborghini",True,False,True,False,False,True,True,True
Cooling & HVAC System,A/C Condenser 775,Generic A/C Condenser,FQS-9BAF-E7E5-1BD2,2025-09-24,1449.15,GBP,True,True,"Feramborghini,Nord,WV",False,True,True,False,True,True,False,False
Cooling & HVAC System,Radiator 377,Dissipates heat from engine coolant.,FQS-085D-31AD-3B84,2019-04-17,1325.5,GBP,True,True,Mecentley,True,True,True,True,True,True,True,True
Cooling & HVAC System,Thermostat 594,Regulates engine coolant temperature.,FQS-3E82-A417-C2C6,2020-10-10,1228.39,GBP,False,True,"Mecentley,Nord",True,True,True,False,True,True,True,True
Cooling & HVAC System,Radiator Cap 994,Generic Radiator Cap,FQS-B2FD-88A7-365F,2021-12-30,1137.45,GBP,True,True,Nord,False,True,True,False,False,True,True,False
Cooling & HVAC System,Thermostat 486,Regulates engine coolant temperature.,FQS-3B0A-73F0-85D8,2023-10-16,868.02,GBP,True,False,"Feramborghini,Nord,Mecentley,WV,BMV",True,True,True,False,True,True,True,True
Cooling & HVAC System,Expansion Valve 499,Generic Expansion Valve,FQS-2ECA-4628-731C,2015-11-11,1556.41,GBP,True,True,"WV,BMV,Feramborghini,Nord,Mecentley",False,False,True,True,True,True,True,False
Cooling & HVAC System,A/C Lines 775,Transport refrigerant.,FQS-05F6-587A-D0B6,2015-06-14,233.66,GBP,True,False,"Mecentley,BMV,Nord",True,True,False,True,True,True,False,True
Cooling & HVAC System,Cooling Fan 235,Generic Cooling Fan,FQS-79B8-3D8F-A0D7,2021-05-27,1980.24,GBP,True,True,Feramborghini,True,True,True,True,False,False,False,True
Cooling & HVAC System,Fan Clutch 875,Engages fan as needed.,FQS-6347-744D-3FB3,2016-01-03,75.11,GBP,True,True,"Nord,BMV,Mecentley,Feramborghini,WV",False,True,True,False,True,False,True,True
Cooling & HVAC System,Radiator Hoses 045,Generic Radiator Hoses,FQS-2095-7BCA-C3D7,2021-04-07,1344.87,GBP,True,False,"Nord,BMV,Mecentley",False,True,True,True,True,False,False,False
Cooling & HVAC System,Thermostat 050,Generic Thermostat,FQS-FFFC-1CDA-02CF,2015-02-03,455.1,GBP,True,True,"WV,Feramborghini,BMV",False,True,True,False,True,True,True,True
Cooling & HVAC System,Heater Core 634,Generic Heater Core,FQS-F47C-DD60-1CA3,2017-09-15,249.35,GBP,True,True,"BMV,Feramborghini,Nord,WV,Mecentley",False,True,True,False,False,True,True,True
Cooling & HVAC System,A/C Compressor 752,Generic A/C Compressor,FQS-CA43-05DB-206B,2025-12-06,266.3,GBP,False,True,BMV,False,False,True,True,False,True,False,False
Cooling & HVAC System,Expansion Valve 576,Generic Expansion Valve,FQS-E2AD-A4D9-DF91,2017-10-07,1211.01,GBP,True,False,"Nord,Mecentley,BMV",True,True,False,True,True,True,False,True
Cooling & HVAC System,Thermostat Housing 857,Encases the thermostat.,FQS-2513-8BAF-A4D5,2015-07-27,1370.4,GBP,True,False,BMV,True,True,True,True,True,False,True,False
Cooling & HVAC System,Cabin Air Filter 157,Generic Cabin Air Filter,FQS-64F6-C37A-DECB,2024-09-28,1314.1,GBP,True,True,"Mecentley,BMV",False,True,True,False,False,True,False,True
Cooling & HVAC System,A/C Condenser 631,Generic A/C Condenser,FQS-59F0-2828-3337,2017-10-11,1940.07,GBP,True,True,"Mecentley,BMV,Nord,WV,Feramborghini",False,True,False,False,True,True,False,False
Cooling & HVAC System,Fan Clutch 380,Engages fan as needed.,FQS-138B-815F-66FB,2018-10-18,112.98,GBP,True,True,Feramborghini,True,False,False,False,True,True,False,False
Cooling & HVAC System,Thermostat 187,Regulates engine coolant temperature.,FQS-8099-8D7D-4B48,2017-05-07,476.67,GBP,False,True,"Feramborghini,BMV,WV",False,True,True,False,True,False,False,True
Cooling & HVAC System,Radiator Cap 958,Seals radiator and maintains pressure.,FQS-6BC9-A114-E6FB,2017-03-05,432.83,GBP,True,False,"Feramborghini,BMV,Mecentley",True,False,False,True,False,True,True,True
Cooling & HVAC System,Thermostat 615,Regulates engine coolant temperature.,FQS-F667-14BF-EB0B,2023-08-05,554.97,GBP,True,True,Nord,False,False,True,True,False,True,True,True
Cooling & HVAC System,Thermostat Housing 549,Generic Thermostat Housing,FQS-0F5E-99F9-2053,2016-03-20,1558.25,GBP,True,True,"BMV,Mecentley",True,True,True,False,False,True,False,False
Cooling & HVAC System,Radiator Hoses 998,Generic Radiator Hoses,FQS-939C-4F96-6F4B,2019-06-28,557.58,GBP,False,True,"BMV,Nord",True,False,False,True,True,False,True,False
Cooling & HVAC System,Heater Core 313,Heats cabin air using engine coolant.,FQS-C13E-8984-A4F2,2018-11-04,836.23,GBP,True,True,"Nord,BMV,WV",False,False,False,True,True,False,True,False
Cooling & HVAC System,Radiator 789,Dissipates heat from engine coolant.,FQS-3452-A7BF-C4DF,2019-12-24,1949.77,GBP,True,True,"Feramborghini,WV",False,True,False,False,True,True,True,False
Cooling & HVAC System,A/C Compressor 792,Compresses refrigerant for air conditioning.,FQS-E735-84F4-D157,2021-07-15,450.71,GBP,False,True,"BMV,Feramborghini",False,False,False,True,False,True,False,True
Cooling & HVAC System,Thermostat Housing 971,Encases the thermostat.,FQS-64D0-2E4C-3E92,2021-01-04,1040.22,GBP,True,True,Mecentley,True,False,False,True,True,False,False,False
Cooling & HVAC System,Heater Core 760,Heats cabin air using engine coolant.,FQS-BE19-EBF2-D413,2017-04-15,548.13,GBP,True,True,"BMV,Feramborghini,WV",True,False,True,False,True,True,True,True
Cooling & HVAC System,A/C Dryer 122,Removes moisture from refrigerant.,FQS-6DFC-70F8-F861,2018-09-07,1036.49,GBP,True,True,"Feramborghini,BMV",True,True,True,True,True,False,False,True
Cooling & HVAC System,A/C Compressor 062,Generic A/C Compressor,FQS-BE6F-E11F-736B,2025-06-11,1468.84,GBP,False,False,"Nord,Mecentley,WV,BMV,Feramborghini",True,False,True,True,False,False,True,True
Cooling & HVAC System,Water Pump 984,Circulates coolant through engine.,FQS-08CA-C5E6-6CD8,2025-12-20,738.19,GBP,False,True,"BMV,WV,Mecentley",True,True,True,True,False,True,True,True
Cooling & HVAC System,Radiator Cap 407,Generic Radiator Cap,FQS-0A2C-B18B-46C8,2015-06-15,1731.26,GBP,False,True,"WV,Feramborghini,BMV",True,True,False,False,True,True,False,False
Cooling & HVAC System,Radiator Hoses 403,Generic Radiator Hoses,FQS-DD1A-35C8-A7C9,2020-12-07,729.19,GBP,True,False,Feramborghini,True,True,True,True,True,True,False,False
Cooling & HVAC System,A/C Dryer 074,Removes moisture from refrigerant.,FQS-104C-CD10-CC1C,2022-01-16,832.06,GBP,True,True,"Mecentley,WV,Feramborghini,Nord,BMV",False,True,False,True,True,False,True,False
Cooling & HVAC System,Thermostat Housing 179,Encases the thermostat.,FQS-B982-6390-3D42,2017-09-13,1825.08,GBP,True,True,"BMV,WV,Nord",True,True,False,True,True,False,True,True
Cooling & HVAC System,Thermostat 578,Regulates engine coolant temperature.,FQS-550D-4412-585C,2021-09-24,1067.67,GBP,True,True,"WV,Mecentley,Nord,BMV,Feramborghini",True,True,False,False,False,True,False,False
Cooling & HVAC System,Heater Core 370,Heats cabin air using coolant.,FQS-BF47-2F0B-FDAB,2016-04-17,1345.7,GBP,True,True,"Mecentley,BMV",False,True,False,True,True,True,True,True
Cooling & HVAC System,Thermostat 785,Regulates engine coolant temperature.,FQS-DF85-815A-4EE6,2024-12-08,81.69,GBP,True,True,"BMV,Feramborghini,Nord,Mecentley,WV",True,True,False,False,True,False,False,False
Cooling & HVAC System,Thermostat Housing 374,Encases the thermostat.,FQS-A5CC-9172-B27D,2024-10-23,1831.82,GBP,True,True,"Mecentley,BMV,WV,Nord",True,True,True,True,False,False,True,False
Cooling & HVAC System,Radiator Cap 616,Generic Radiator Cap,FQS-7AF2-FE9F-E5B2,2024-04-10,1989.81,GBP,True,False,"WV,Nord",True,True,True,False,True,True,True,False
Cooling & HVAC System,Radiator Cap 097,Seals radiator and maintains pressure.,FQS-A65D-0555-F959,2021-02-22,487.7,GBP,True,True,"Mecentley,BMV",True,True,True,False,True,True,True,True
Cooling & HVAC System,Cabin Air Filter 095,Generic Cabin Air Filter,FQS-67C3-36A1-941B,2015-11-11,967.4,GBP,True,False,"Feramborghini,Nord,BMV,Mecentley",True,True,True,False,False,True,True,True
Cooling & HVAC System,A/C Lines 064,Transport refrigerant.,FQS-96FA-6C55-7196,2016-06-16,180.45,GBP,True,True,"Nord,Mecentley,WV,BMV,Feramborghini",True,True,True,True,False,False,False,True
Cooling & HVAC System,Heater Core 522,Heats cabin air using coolant.,FQS-B6B6-8229-C06E,2020-01-10,717.11,GBP,False,True,"BMV,Mecentley,Nord,WV",False,False,True,True,False,False,False,False
Cooling & HVAC System,A/C Condenser 379,Generic A/C Condenser,FQS-7642-6B54-8F96,2015-04-07,382.48,GBP,False,True,"Nord,WV",True,False,False,False,True,True,True,False
Cooling & HVAC System,Expansion Valve 254,Generic Expansion Valve,FQS-E35D-8CAF-CAF0,2017-04-20,1824.9,GBP,True,True,"Feramborghini,Mecentley,WV",True,False,False,True,True,False,False,False
Cooling & HVAC System,Radiator Hoses 149,Generic Radiator Hoses,FQS-E597-B704-87AD,2021-10-20,901.52,GBP,True,True,"Nord,Mecentley,Feramborghini",False,True,True,True,False,True,False,True
Cooling & HVAC System,Radiator Hoses 695,Generic Radiator Hoses,FQS-220A-B470-A41A,2017-03-20,483.9,GBP,False,True,"BMV,Feramborghini,Mecentley",True,True,False,False,False,True,False,True
Cooling & HVAC System,Water Pump 080,Generic Water Pump,FQS-C5F7-7A98-2267,2025-06-16,798.01,GBP,True,True,"Mecentley,BMV,Feramborghini",False,False,True,False,True,False,False,False
Cooling & HVAC System,Heater Blower Motor 898,Drives air through HVAC system.,FQS-76C6-592E-C1D6,2021-06-05,1809.17,GBP,False,False,"Feramborghini,BMV,Nord,Mecentley,WV",True,True,True,False,True,True,True,False
Cooling & HVAC System,Thermostat Housing 437,Generic Thermostat Housing,FQS-30D2-0FD9-20FB,2015-08-18,605.47,GBP,False,True,"Mecentley,WV",True,True,True,False,True,False,False,False
Cooling & HVAC System,Heater Core 387,Heats cabin air using engine coolant.,FQS-6724-073F-22F3,2017-07-06,576.21,GBP,False,True,"WV,BMV",True,True,True,True,True,False,True,False
Cooling & HVAC System,Heater Blower Motor 490,Generic Heater Blower Motor,FQS-F0C1-4A36-9034,2020-11-01,1064.46,GBP,True,True,"Nord,WV",True,True,True,False,True,False,False,True
Cooling & HVAC System,Thermostat 617,Regulates engine coolant temperature.,FQS-E6B4-1A62-5561,2018-03-23,483.7,GBP,False,True,"BMV,Feramborghini",False,True,True,False,False,True,True,True
Cooling & HVAC System,A/C Lines 038,Generic A/C Lines,FQS-EE8D-7B0E-541C,2020-02-18,1191.1,GBP,True,True,Feramborghini,True,True,True,True,False,True,False,True
Cooling & HVAC System,Heater Core 856,Heats cabin air using engine coolant.,FQS-C65E-EB02-D52E,2025-11-23,1367.26,GBP,False,True,"Nord,BMV,Mecentley,WV",True,True,True,True,False,False,True,True
Cooling & HVAC System,A/C Lines 752,Transport refrigerant.,FQS-1E29-FCA6-E04C,2017-05-28,1308.26,GBP,False,True,"Feramborghini,Mecentley,BMV",True,False,True,True,False,True,False,False
Cooling & HVAC System,Thermostat 284,Regulates engine coolant temperature.,FQS-19E5-2894-C20C,2024-04-05,329.82,GBP,True,True,"Mecentley,WV",False,False,True,True,False,True,True,True
Cooling & HVAC System,Radiator Cap 100,Generic Radiator Cap,FQS-059B-381B-E9A6,2018-10-31,297.04,GBP,False,True,"BMV,Feramborghini",False,False,False,False,True,False,True,True
Cooling & HVAC System,Thermostat 345,Regulates engine coolant temperature.,FQS-F494-E5D2-BBD1,2021-06-01,70.48,GBP,True,True,"WV,Nord,BMV,Mecentley,Feramborghini",True,True,False,False,False,False,False,False
Cooling & HVAC System,Water Pump 837,Circulates coolant through engine.,FQS-FA9E-BE5F-7F38,2023-12-13,683.96,GBP,True,True,"WV,Feramborghini",True,False,True,True,True,True,False,False
Cooling & HVAC System,Water Pump 171,Generic Water Pump,FQS-B918-1747-9069,2024-05-08,1465.04,GBP,False,True,"Mecentley,Nord,WV,BMV",False,False,True,False,True,True,False,False
Cooling & HVAC System,A/C Compressor 780,Generic A/C Compressor,FQS-259E-474F-0991,2024-08-22,1161.36,GBP,True,True,Feramborghini,False,False,True,True,True,True,True,False
Cooling & HVAC System,Radiator Cap 551,Seals radiator and maintains pressure.,FQS-C4B3-0632-17E5,2018-07-10,1206.72,GBP,False,True,Nord,True,True,True,True,True,True,True,False
Cooling & HVAC System,Heater Core 192,Heats cabin air using engine coolant.,FQS-04D2-532C-6CF9,2024-05-30,1830.99,GBP,True,True,"Nord,Mecentley,WV",True,False,False,True,True,True,True,True
Cooling & HVAC System,Thermostat 748,Regulates engine coolant temperature.,FQS-5E2A-DFB1-AAAD,2025-07-08,1526.18,GBP,True,False,"Mecentley,Feramborghini,Nord,WV,BMV",False,False,True,True,False,False,False,False
Cooling & HVAC System,A/C Dryer 605,Generic A/C Dryer,FQS-4A1B-A8EE-F775,2025-04-30,484.16,GBP,True,False,"WV,BMV,Nord",False,True,True,False,False,True,True,True
Cooling & HVAC System,A/C Lines 708,Generic A/C Lines,FQS-AD1D-5517-EB99,2019-02-02,1921.88,GBP,True,True,"WV,BMV,Nord,Feramborghini",True,False,True,True,True,True,True,True
Cooling & HVAC System,A/C Dryer 548,Generic A/C Dryer,FQS-AA39-693D-97D3,2024-12-01,1310.12,GBP,True,False,"WV,Feramborghini,Mecentley,BMV,Nord",True,True,True,True,False,True,False,True
Cooling & HVAC System,Cooling Fan 013,Assists in radiator cooling.,FQS-28E3-8677-29C1,2016-10-29,1024.91,GBP,False,True,"Nord,Mecentley",False,True,False,True,False,True,False,True
Cooling & HVAC System,A/C Compressor 429,Compresses refrigerant for air conditioning.,FQS-1B12-D801-55A0,2023-04-16,1874.56,GBP,True,True,"Mecentley,Feramborghini,WV,BMV,Nord",False,False,True,False,True,True,True,True
Cooling & HVAC System,Water Pump 264,Circulates coolant through engine.,FQS-1E3A-9182-ABCA,2021-07-18,1316.67,GBP,True,True,"Mecentley,BMV",False,True,False,False,True,False,False,False
Cooling & HVAC System,Radiator Cap 925,Generic Radiator Cap,FQS-E82B-5FC4-1481,2019-03-07,1283.83,GBP,True,True,Feramborghini,True,False,True,True,False,False,True,True
Cooling & HVAC System,Heater Core 086,Heats cabin air using engine coolant.,FQS-0641-124C-3306,2023-05-28,1732.96,GBP,True,True,BMV,True,False,True,True,False,True,True,False
Cooling & HVAC System,Heater Blower Motor 489,Generic Heater Blower Motor,FQS-A57E-4618-D6A8,2018-11-18,1048.9,GBP,False,True,Feramborghini,True,True,True,True,True,False,True,False
Cooling & HVAC System,Fan Clutch 505,Generic Fan Clutch,FQS-957A-0A60-AF7C,2020-04-06,961.8,GBP,False,True,"Nord,WV,Mecentley,Feramborghini,BMV",False,True,True,False,True,True,True,True
Cooling & HVAC System,Expansion Valve 115,Generic Expansion Valve,FQS-BD6D-B99B-9BE2,2018-09-01,1583.55,GBP,False,True,Mecentley,True,True,False,False,False,False,True,True
Cooling & HVAC System,A/C Compressor 349,Compresses refrigerant for air conditioning.,FQS-3F80-01F4-3497,2024-07-11,504.28,GBP,True,True,BMV,True,False,True,False,True,False,True,False
