category,name,description,serial,production_date,price,currency,authorised,in_stock,compatible_brands,recalled,digitallyTracked,used,aftermarket,safetyCritical
Body and Exterior,Doors O64,Generic Doors,ZCL-PERF-9WAT-MPS,2025-05-23,656.32,JPY,False,True,"WV,BMV,Nord,Feramborghini",True,True,False,True,False
Body and Exterior,Window Seals Y81,Generic Window Seals,ZCL-COL-URQX-IXR,2019-03-28,1840.63,JPY,True,True,Mecentley,False,True,True,True,False
Body and Exterior,Windshield V83,Front glass panel for visibility and protection.,ZCL-ENG-IBWO-09I,2020-08-05,1589.09,JPY,True,True,"BMV,WV,Feramborghini,Mecentley",True,True,False,True,True
Body and Exterior,Fenders D32,Generic Fenders,ZCL-TRN-9WEO-VH0,2016-06-23,1785.42,JPY,True,True,"Feramborghini,Nord,WV,BMV",True,False,True,True,True
Body and Exterior,License Plate Holder A41,Generic License Plate Holder,ZCL-DRI-C4U5-WI1,2022-07-29,1159.41,JPY,True,True,"Feramborghini,WV",True,False,True,True,False
Body and Exterior,Windshield R68,Generic Windshield,ZCL-ENG-0ELK-2BD,2020-07-11,1169.83,JPY,False,True,"WV,BMV,Nord,Mecentley,Feramborghini",True,True,True,False,True
Body and Exterior,Trunk Z60,Storage compartment at rear of vehicle.,ZCL-PERF-PMRZ-8GQ,2017-12-15,1447.77,JPY,True,False,"BMV,WV,Mecentley",True,False,True,False,False
Body and Exterior,Side Mirrors V5,Generic Side Mirrors,ZCL-DRI-G5UT-P5Y,2025-09-25,1524.06,JPY,True,True,"Feramborghini,Nord,Mecentley,WV,BMV",True,True,True,True,True
Body and Exterior,"Bumpers (Front, Rear) Z95","Generic Bumpers (Front, Rear)",ZCL-TRN-DZG3-FM6,2017-04-08,420.6,JPY,False,True,"Mecentley,Feramborghini,BMV",True,True,True,True,False
Body and Exterior,Grille D62,Generic Grille,ZCL-DRI-XE6O-7D9,2023-07-28,920.56,JPY,True,False,"Nord,Feramborghini,BMV",True,True,True,False,False
Body and Exterior,Bumpers K64,Protects car front and rear from impacts.,ZCL-DRI-T9CN-UT3,2020-05-05,1558.44,JPY,True,True,"WV,BMV,Feramborghini,Nord",False,True,True,False,False
Body and Exterior,Wiper Blades Q72,Generic Wiper Blades,ZCL-COL-Z9EN-40B,2017-04-19,1414.41,JPY,False,True,"Nord,Feramborghini,Mecentley",False,False,True,False,True
Body and Exterior,Windshield X67,Front glass panel for visibility and protection.,ZCL-TRN-YNOZ-1QG,2021-01-16,1404.12,JPY,True,True,"Feramborghini,Mecentley",True,True,True,False,True
Body and Exterior,Grille P85,Generic Grille,ZCL-DRI-0VZD-D9D,2018-09-30,1558.25,JPY,True,False,"Nord,WV",False,False,True,False,True
Body and Exterior,Roof Rack X43,Generic Roof Rack,ZCL-DRI-Z2KH-FZP,2016-07-16,915.83,JPY,False,True,Mecentley,True,False,True,False,False
Body and Exterior,License Plate Holder S63,Generic License Plate Holder,ZCL-SUS-QT0R-JMD,2017-02-18,772.04,JPY,True,False,"BMV,Feramborghini,Nord,Mecentley",False,True,True,True,True
Body and Exterior,Fenders P68,Generic Fenders,ZCL-DRI-AVWJ-58J,2015-10-04,1319.54,JPY,False,False,"Feramborghini,Mecentley,BMV",True,False,True,True,True
Body and Exterior,Hood / Bonnet V24,Generic Hood / Bonnet,ZCL-COL-369B-KOG,2015-11-11,341.11,JPY,True,True,"WV,Mecentley,Nord",True,False,True,False,False
Body and Exterior,Grille C18,Generic Grille,ZCL-ENG-A6UL-ZG9,2020-02-02,1909.91,JPY,True,True,"Nord,Feramborghini,WV",False,True,True,True,True
Body and Exterior,"Bumpers (Front, Rear) Q34","Generic Bumpers (Front, Rear)",ZCL-SUS-V3KO-Y8L,2023-11-18,470.03,JPY,True,True,"WV,Nord,Mecentley",True,True,True,True,False
Body and Exterior,Spoiler D46,Generic Spoiler,ZCL-ENG-DMW7-OW0,2020-05-06,1561.47,JPY,True,True,"Nord,WV",False,True,True,True,True
Body and Exterior,Windshield A15,Front glass panel for visibility and protection.,ZCL-ENG-YT3P-L9B,2018-03-26,1970.54,JPY,True,True,"Feramborghini,BMV,Nord,Mecentley,WV",False,False,False,False,False
Body and Exterior,Trunk / Boot S73,Generic Trunk / Boot,ZCL-SUS-3070-XRM,2023-12-11,1554.64,JPY,False,True,"WV,Nord,Feramborghini,Mecentley",True,False,False,True,True
Body and Exterior,"Bumpers (Front, Rear) Z96","Generic Bumpers (Front, Rear)",ZCL-ELE-69Q7-1RR,2017-03-30,377.53,JPY,True,True,"Nord,WV,BMV,Feramborghini",True,True,False,False,False
Body and Exterior,Emblems / Badges V8,Generic Emblems / Badges,ZCL-ENG-4BYH-L1N,2020-12-15,1563.06,JPY,True,False,"Feramborghini,Nord",False,False,True,True,False
Body and Exterior,Roof Rack G45,Generic Roof Rack,ZCL-PERF-MDEA-P92,2015-02-17,330.36,JPY,True,True,"BMV,WV,Feramborghini",True,True,True,True,True
Body and Exterior,Trunk / Boot X5,Generic Trunk / Boot,ZCL-BRK-G63B-HCO,2020-12-16,483.61,JPY,True,True,"Feramborghini,BMV,Nord",False,True,True,True,False
Body and Exterior,Antenna K64,Generic Antenna,ZCL-COL-ZW8U-KJA,2018-07-20,1679.25,JPY,True,False,"BMV,WV",False,False,True,True,False
Body and Exterior,Roof Rack G63,Generic Roof Rack,ZCL-DRI-210R-KDK,2018-06-25,14.29,JPY,True,True,"WV,Feramborghini,Nord",True,True,True,False,False
Body and Exterior,Rear Window J72,Generic Rear Window,ZCL-DRI-QP7G-HRW,2025-06-14,1404.55,JPY,True,True,"BMV,Nord,Mecentley,Feramborghini,WV",True,True,False,True,True
Body and Exterior,Wiper Blades Q89,Generic Wiper Blades,ZCL-BRK-JISJ-J6H,2022-06-11,56.77,JPY,True,True,"Mecentley,BMV,Feramborghini,Nord,WV",True,False,True,False,True
Body and Exterior,Doors M59,Generic Doors,ZCL-TRN-47K2-NNR,2025-08-23,906.62,JPY,True,False,"Mecentley,Feramborghini",True,True,False,False,True
Body and Exterior,Windshield G64,Generic Windshield,ZCL-BRK-5J29-RMS,2022-01-24,1522.28,JPY,True,False,"Nord,Feramborghini,BMV,WV,Mecentley",False,True,False,False,True
Body and Exterior,License Plate Holder Y48,Generic License Plate Holder,ZCL-COL-RTLE-0HS,2022-05-04,712.13,JPY,True,False,Feramborghini,False,False,True,True,True
Body and Exterior,Window Seals Q82,Generic Window Seals,ZCL-TRN-AUB6-UGT,2016-08-15,104.4,JPY,True,True,BMV,True,True,True,True,True
Body and Exterior,Windshield N82,Generic Windshield,ZCL-ELE-NDPF-Z1E,2022-12-17,112.42,JPY,True,True,Mecentley,True,False,True,True,True
Body and Exterior,Rear Window W88,Generic Rear Window,ZCL-PERF-OHAP-1S0,2025-07-19,548.21,JPY,True,False,"Nord,WV,Mecentley,BMV",True,True,False,True,False
Body and Exterior,Side Mirrors Y28,Allow driver to view rear/side traffic.,ZCL-PERF-3P40-GZD,2015-11-28,1606.55,JPY,True,True,Mecentley,False,False,False,False,True
Body and Exterior,Rear Window K18,Generic Rear Window,ZCL-TRN-MH4J-DQU,2021-04-23,1758.13,JPY,False,True,"Feramborghini,WV,BMV,Mecentley,Nord",True,False,True,False,False
Body and Exterior,Windshield G90,Generic Windshield,ZCL-COL-PMI6-6VK,2023-07-06,1261.25,JPY,True,True,"Nord,BMV,Feramborghini,WV,Mecentley",False,True,True,True,True
Body and Exterior,Doors Y29,Generic Doors,ZCL-ELE-EFV3-99L,2020-09-04,942.34,JPY,True,True,"WV,Mecentley,BMV,Feramborghini",True,True,True,True,True
Body and Exterior,Windshield Washer Pump X49,Generic Windshield Washer Pump,ZCL-ELE-YCUM-J05,2015-04-24,970.48,JPY,True,True,"WV,Nord",True,False,False,False,True
Body and Exterior,Fenders G64,Generic Fenders,ZCL-DRI-FTXX-TFR,2018-07-31,1576.0,JPY,False,True,"Feramborghini,Nord,WV",True,True,False,False,True
Body and Exterior,Wiper Blades G69,Generic Wiper Blades,ZCL-ELE-NB62-YXM,2016-06-11,1184.13,JPY,True,True,"BMV,Nord,Mecentley",False,True,True,True,False
Body and Exterior,Doors P30,Generic Doors,ZCL-PERF-9931-Q4K,2022-04-25,1171.14,JPY,False,True,"Feramborghini,BMV,Mecentley,WV,Nord",True,False,False,True,True
Body and Exterior,Roof Rack U59,Generic Roof Rack,ZCL-ELE-C5SF-YXF,2016-02-23,937.39,JPY,True,True,"BMV,Nord,WV,Mecentley",True,True,False,True,True
Body and Exterior,Doors U48,Allow entry and exit from the vehicle.,ZCL-DRI-CHJC-O63,2020-11-04,136.79,JPY,False,True,"BMV,Mecentley,Feramborghini,WV,Nord",True,True,True,True,True
Body and Exterior,Windshield Washer Pump E3,Generic Windshield Washer Pump,ZCL-BRK-TP8I-35E,2020-07-06,634.34,JPY,True,True,"BMV,Feramborghini,WV,Mecentley,Nord",True,True,True,False,True
Body and Exterior,Windshield Washer Pump A36,Generic Windshield Washer Pump,ZCL-BRK-YR8U-PSF,2018-11-05,1209.34,JPY,True,True,"Feramborghini,Mecentley,Nord,WV",False,False,True,True,True
Body and Exterior,Windshield Washer Pump B46,Generic Windshield Washer Pump,ZCL-ENG-QA11-LOF,2021-02-16,1823.12,JPY,True,True,"Nord,Feramborghini",True,True,False,True,False
Body and Exterior,Hood L53,Covers the engine compartment.,ZCL-DRI-6Z5R-BLS,2025-05-18,1009.85,JPY,True,True,"WV,Mecentley,Feramborghini,BMV",False,False,False,True,False
Body and Exterior,Side Windows V12,Generic Side Windows,ZCL-ENG-T3BL-58A,2019-08-27,1335.65,JPY,True,True,"WV,Mecentley",True,False,False,False,False
Body and Exterior,Doors L98,Allow entry and exit from the vehicle.,ZCL-SUS-49LS-DHK,2023-01-29,1355.78,JPY,False,False,"BMV,Mecentley,Nord,WV,Feramborghini",False,False,False,False,True
Body and Exterior,Window Seals P99,Generic Window Seals,ZCL-ELE-M4GV-IB8,2021-09-08,716.59,JPY,True,False,"Feramborghini,Mecentley",True,True,False,True,True
Body and Exterior,Fenders I2,Generic Fenders,ZCL-ELE-M6EV-CEM,2023-04-21,1110.76,JPY,True,True,WV,True,True,False,True,True
Body and Exterior,Bumpers A15,Protects car front and rear from impacts.,ZCL-TRN-VHJG-XKQ,2015-04-24,1669.55,JPY,True,True,"Mecentley,WV,BMV",False,True,False,False,True
Body and Exterior,Windshield Washer Pump W40,Generic Windshield Washer Pump,ZCL-DRI-HBO1-0JP,2021-01-19,1380.27,JPY,True,True,"BMV,WV,Nord",False,False,False,True,True
Body and Exterior,Windshield Washer Pump P15,Generic Windshield Washer Pump,ZCL-COL-74GA-QY9,2022-04-20,1133.55,JPY,True,True,"BMV,Nord,Feramborghini,Mecentley",True,True,False,True,False
Body and Exterior,Rear Window Y65,Generic Rear Window,ZCL-DRI-PWUJ-BUE,2021-04-13,36.12,JPY,True,True,"Mecentley,Nord,WV",False,True,False,True,False
Body and Exterior,Roof Rack L55,Generic Roof Rack,ZCL-COL-X6W1-Y5S,2024-12-30,802.11,JPY,True,False,"WV,Nord,Mecentley",False,True,False,False,False
Body and Exterior,Trunk / Boot K68,Generic Trunk / Boot,ZCL-PERF-D0X7-1RI,2021-03-06,1599.01,JPY,True,True,"Nord,Feramborghini,Mecentley",False,False,True,False,True
Body and Exterior,Antenna S81,Generic Antenna,ZCL-SUS-UDRI-FU4,2015-04-03,676.25,JPY,False,True,"Feramborghini,WV",True,True,False,False,False
Body and Exterior,Doors H80,Generic Doors,ZCL-SUS-DD4M-QMW,2016-04-26,1836.61,JPY,True,True,"Mecentley,BMV,Feramborghini,WV,Nord",True,True,False,True,True
Body and Exterior,Trunk C80,Storage compartment at rear of vehicle.,ZCL-BRK-9XTD-SOQ,2024-08-20,764.06,JPY,True,True,"Feramborghini,BMV,Mecentley,Nord,WV",True,False,False,False,True
Body and Exterior,Wiper Arms N70,Generic Wiper Arms,ZCL-SUS-6I0C-SDY,2021-11-14,362.42,JPY,True,False,"Feramborghini,Nord,Mecentley",True,True,True,False,True
Body and Exterior,Wiper Arms O91,Generic Wiper Arms,ZCL-ENG-31DA-V2Y,2025-05-26,1108.17,JPY,True,True,WV,False,True,True,True,False
Body and Exterior,Antenna G42,Generic Antenna,ZCL-SUS-U11I-O77,2020-10-18,1199.48,JPY,True,False,"Nord,WV",True,False,True,True,False
Body and Exterior,Emblems / Badges X5,Generic Emblems / Badges,ZCL-BRK-VG9V-U5G,2020-11-13,1864.47,JPY,False,True,"Feramborghini,BMV,WV,Nord,Mecentley",False,True,False,False,True
Body and Exterior,Rear Window C59,Generic Rear Window,ZCL-SUS-CD44-IZV,2018-12-23,328.14,JPY,True,True,WV,False,True,True,True,True
Body and Exterior,Window Seals B45,Generic Window Seals,ZCL-COL-9B2A-6PH,2017-02-04,1096.87,JPY,True,True,Feramborghini,False,False,False,True,True
Body and Exterior,Rear Window C21,Generic Rear Window,ZCL-BRK-NMYT-Z8E,2020-11-06,426.55,JPY,True,True,"Nord,BMV,Feramborghini,WV,Mecentley",True,True,False,False,True
Body and Exterior,Windshield R83,Generic Windshield,ZCL-PERF-4AKY-47R,2020-08-21,1439.54,JPY,False,False,WV,True,True,False,False,True
Body and Exterior,Windshield D73,Generic Windshield,ZCL-ENG-OC1R-DES,2015-05-28,302.67,JPY,True,True,Nord,True,True,True,False,True
Body and Exterior,Emblems / Badges Z56,Generic Emblems / Badges,ZCL-SUS-JDNU-V57,2018-09-27,1705.16,JPY,True,True,"BMV,Feramborghini",True,True,False,True,False
Body and Exterior,Doors F65,Generic Doors,ZCL-ELE-WHLJ-TCQ,2025-11-13,913.34,JPY,True,False,"Nord,Feramborghini,WV,Mecentley",True,True,True,False,True
Body and Exterior,Spoiler M55,Generic Spoiler,ZCL-BRK-VQVH-3N2,2015-02-03,1197.51,JPY,False,True,"Nord,Mecentley",True,False,True,True,False
Body and Exterior,Window Seals P79,Generic Window Seals,ZCL-ENG-V6MU-F50,2017-03-25,674.61,JPY,True,True,"Feramborghini,Mecentley,Nord,WV",True,True,False,True,False
Body and Exterior,Side Windows A93,Generic Side Windows,ZCL-TRN-FSZ3-9Y3,2022-04-22,874.17,JPY,True,True,"WV,Nord,Mecentley,BMV,Feramborghini",False,False,False,True,False
Body and Exterior,Trunk U40,Storage compartment at rear of vehicle.,ZCL-BRK-EX3I-PQU,2021-04-27,1599.22,JPY,True,True,"Nord,Feramborghini,BMV,WV",False,True,True,False,True
Cooling System,Performance Radiator J95,Increased cooling capacity for high performance.,ZCL-ELE-MXEZ-R3T,2018-12-18,1820.42,JPY,True,True,Mecentley,True,True,True,True,True
Interior,Racing Harness U2,Keeps driver securely in seat.,ZCL-SUS-9BKH-THS,2021-05-19,1256.04,JPY,True,True,"Nord,Mecentley,Feramborghini,BMV",True,True,True,True,True
Interior,Bucket Seats T8,Provide support for high-G driving.,ZCL-SUS-YB8K-K4X,2015-11-25,301.76,JPY,True,True,"WV,Feramborghini,Mecentley,BMV,Nord",True,True,True,True,True
Interior,Bucket Seats S26,Provide support for high-G driving.,ZCL-ENG-TEYU-0NJ,2016-09-22,811.69,JPY,False,True,"Nord,WV",True,True,True,False,False
Interior,Racing Harness Q72,Keeps driver securely in seat.,ZCL-PERF-VRIY-2Q0,2015-06-17,1194.63,JPY,True,True,"BMV,Feramborghini,WV,Nord",True,True,True,True,False
Interior,Digital Gauges W28,"Monitor boost, oil pressure, and air/fuel ratio.",ZCL-COL-L098-3UG,2023-04-08,1849.93,JPY,True,True,"Feramborghini,Mecentley,Nord,BMV,WV",False,False,True,False,False
Interior,Racing Harness W77,Keeps driver securely in seat.,ZCL-PERF-KK5D-JFP,2015-03-09,279.53,JPY,True,True,"BMV,Feramborghini,Mecentley,WV",False,True,False,True,False
Interior,Quick Release Steering Wheel N9,Allows faster entry/exit and theft prevention.,ZCL-PERF-05UH-6ZP,2019-02-26,997.92,JPY,False,True,"WV,Mecentley,BMV,Feramborghini",True,True,True,True,False
Interior,Racing Harness P46,Keeps driver securely in seat.,ZCL-COL-4IHH-02W,2020-09-07,719.86,JPY,True,True,Nord,False,False,True,True,True
Interior,Racing Harness H21,Keeps driver securely in seat.,ZCL-COL-7RZ0-PJK,2025-08-15,1710.28,JPY,True,False,"BMV,Nord",True,True,True,False,False
Interior,Roll Cage L31,Improves safety and chassis rigidity.,ZCL-SUS-AEJT-56X,2021-06-17,757.23,JPY,True,False,"WV,Nord,Feramborghini",False,True,True,True,True
Interior,Racing Harness D51,Keeps driver securely in seat.,ZCL-ENG-S79G-6IC,2022-07-22,781.36,JPY,True,False,Nord,False,False,False,False,False
Interior,Bucket Seats Z34,Provide support for high-G driving.,ZCL-PERF-XAMQ-CV2,2022-05-24,864.15,JPY,True,True,"WV,Mecentley,Nord,BMV,Feramborghini",True,True,False,False,True
Interior,Bucket Seats Z31,Provide support for high-G driving.,ZCL-BRK-X9UF-C6B,2017-10-16,780.98,JPY,True,True,"Feramborghini,Mecentley,WV",True,True,True,False,True
Interior,Racing Harness B70,Keeps driver securely in seat.,ZCL-SUS-EWX5-1WO,2017-07-18,1206.16,JPY,True,True,"Mecentley,BMV,Feramborghini,Nord,WV",True,True,True,True,True
Interior,Roll Cage W4,Improves safety and chassis rigidity.,ZCL-ENG-WR2Y-NTQ,2018-07-13,79.74,JPY,True,True,"Mecentley,Nord,Feramborghini,WV,BMV",False,True,False,True,True
Interior,Racing Harness E22,Keeps driver securely in seat.,ZCL-SUS-13PA-I53,2025-01-17,1896.36,JPY,True,True,Feramborghini,False,True,False,False,False
Interior,Roll Cage X49,Improves safety and chassis rigidity.,ZCL-TRN-CDN8-ULM,2025-03-10,1985.68,JPY,True,True,"WV,Feramborghini,BMV",False,False,False,True,False
Interior,Quick Release Steering Wheel P17,Allows faster entry/exit and theft prevention.,ZCL-ENG-0YEE-9S8,2019-04-25,747.11,JPY,True,True,"BMV,Feramborghini,Mecentley,Nord",True,False,True,True,False
Interior,Racing Harness P18,Keeps driver securely in seat.,ZCL-TRN-FDHJ-GWO,2018-01-01,1676.25,JPY,False,False,"Nord,Feramborghini",True,False,True,False,True
Interior,Racing Harness N39,Keeps driver securely in seat.,ZCL-SUS-7AQW-7IR,2015-10-16,1045.78,JPY,False,True,"Feramborghini,Mecentley,Nord,WV,BMV",False,True,False,True,False
Interior,Quick Release Steering Wheel P82,Allows faster entry/exit and theft prevention.,ZCL-SUS-LUTX-W4I,2024-06-21,1479.22,JPY,True,True,"Feramborghini,BMV,Mecentley,Nord",True,True,False,False,True
Interior,Racing Harness N53,Keeps driver securely in seat.,ZCL-DRI-4GKT-X20,2025-06-04,1322.17,JPY,True,True,"Feramborghini,WV",True,True,False,False,True
Engine System,Dipstick G88,Measures oil level.,ZCL-ENG-K1Q5-IYX,2015-10-15,1082.49,JPY,True,True,"Feramborghini,Nord,Mecentley,BMV,WV",True,True,True,True,False
Engine System,Timing Belt / Chain D66,Synchronizes rotation of the crankshaft and camshaft.,ZCL-COL-B18P-5QM,2015-02-19,919.29,JPY,True,True,"Feramborghini,Mecentley,BMV",True,True,False,False,True
Engine System,Ignition Coils B37,Generate high voltage for spark plugs.,ZCL-ELE-RHXI-XLF,2016-01-22,377.4,JPY,True,True,BMV,True,True,True,False,True
Engine System,Turbocharger / Supercharger F15,Generic Turbocharger / Supercharger,ZCL-ENG-RPAZ-K62,2015-10-11,1165.2,JPY,True,True,"BMV,WV,Mecentley",False,True,True,True,False
Engine System,Timing Belt / Chain E17,Generic Timing Belt / Chain,ZCL-ELE-A1F2-AH8,2024-07-07,124.87,JPY,False,True,Feramborghini,True,True,True,False,True
Engine System,Oil Filter C38,Removes contaminants from engine oil.,ZCL-DRI-5RPA-VIJ,2015-12-22,1473.19,JPY,False,False,"Feramborghini,Mecentley,BMV",True,True,True,True,False
Engine System,Ignition Coils J5,Generate high voltage for spark plugs.,ZCL-TRN-4HD4-D3J,2025-02-28,662.68,JPY,True,True,Feramborghini,True,False,False,False,False
Engine System,Oil Pan O26,Generic Oil Pan,ZCL-SUS-FMJ2-79Z,2017-08-21,575.73,JPY,True,True,"Mecentley,Nord,Feramborghini,WV,BMV",True,True,False,True,False
Engine System,Drive Belt P33,"Drives alternator, AC compressor, etc.",ZCL-TRN-RHQE-FTN,2015-11-05,16.44,JPY,True,True,"Feramborghini,Mecentley,BMV",True,True,False,True,False
Engine System,Exhaust Manifold M62,Generic Exhaust Manifold,ZCL-COL-W1EX-54Y,2021-12-19,326.37,JPY,False,True,"WV,BMV,Mecentley",False,True,True,False,True
Engine System,Lifters J40,Transmit camshaft motion to valves.,ZCL-SUS-BKUD-U5H,2022-09-15,1123.98,JPY,True,True,"Mecentley,BMV,Feramborghini,WV",True,False,True,False,False
Engine System,Serpentine Belt S64,Generic Serpentine Belt,ZCL-SUS-0BC0-OPD,2018-10-02,1450.11,JPY,True,True,"WV,BMV,Mecentley,Nord",True,True,False,True,True
Engine System,Valves V81,Control intake and exhaust of air/fuel mixture.,ZCL-PERF-HV7S-736,2022-09-27,981.05,JPY,True,False,"WV,Nord",False,True,False,True,False
Engine System,Serpentine Belt E35,Generic Serpentine Belt,ZCL-BRK-86AD-F06,2023-11-23,757.26,JPY,True,True,Nord,True,True,False,True,True
Engine System,Harmonic Balancer M15,Reduces engine vibration.,ZCL-BRK-V5SF-YNU,2021-05-18,1336.38,JPY,True,True,"Mecentley,WV,Feramborghini",False,False,True,True,True
Engine System,Engine Block D89,Main structure housing cylinders and other components.,ZCL-SUS-WMG1-JRU,2015-05-16,1570.29,JPY,True,False,BMV,True,True,True,True,True
Engine System,Crankshaft F93,Converts piston movement into rotational motion.,ZCL-DRI-S3FF-KJD,2025-01-19,1558.72,JPY,True,True,"Feramborghini,Mecentley,BMV,WV,Nord",True,True,False,True,False
Engine System,Exhaust Manifold C75,Collects exhaust gases from cylinders.,ZCL-PERF-73Q1-KI2,2016-02-19,1919.6,JPY,True,True,"Feramborghini,Mecentley,BMV,WV,Nord",False,False,True,False,True
Engine System,Intercooler V88,Cools air from turbocharger.,ZCL-SUS-JZSK-HU7,2018-12-31,1975.42,JPY,True,True,"BMV,Feramborghini,Mecentley,WV,Nord",True,True,False,False,True
Engine System,Timing Belt / Chain C97,Generic Timing Belt / Chain,ZCL-TRN-8FED-NQM,2025-05-15,297.34,JPY,True,True,"BMV,Feramborghini",True,False,True,True,True
Engine System,Intake Manifold J55,Generic Intake Manifold,ZCL-SUS-S7UR-6DD,2024-03-16,1455.77,JPY,False,True,WV,False,True,False,True,False
Engine System,Cylinder Head Z93,Generic Cylinder Head,ZCL-TRN-ZHHT-URY,2022-09-08,36.87,JPY,True,True,"Feramborghini,BMV",False,True,False,True,False
